Date,Open,High,Low,Close,Adj Close,Volume
2015-09-30,28.980000,29.690001,28.504999,29.500000,29.197159,13057600
2015-10-01,29.639999,29.900000,28.084999,29.344999,29.043753,12156400
2015-10-02,28.549999,30.650000,27.850000,30.615000,30.300714,16522600
2015-10-05,31.495001,32.990002,31.415001,32.799999,32.463284,10509800
2015-10-06,32.785000,33.189999,31.535000,32.169998,31.839750,8474800
2015-10-07,32.680000,33.880001,32.279999,33.825001,33.477757,9566000
2015-10-08,33.755001,34.990002,33.395000,34.799999,34.442749,9932000
2015-10-09,34.919998,35.334999,34.665001,34.930000,34.571415,8644800
2015-10-12,35.025002,35.185001,34.380001,34.855000,34.497189,4413200
2015-10-13,34.389999,35.474998,33.360001,33.375000,33.032379,8533800
2015-10-14,33.470001,34.070000,32.285000,32.465000,32.131725,10185600
2015-10-15,32.695000,34.709999,32.235001,34.669998,34.314079,9592200
2015-10-16,34.904999,34.935001,33.709999,34.555000,34.200268,7989600
2015-10-19,34.150002,35.305000,33.919998,34.790001,34.432858,7621600
2015-10-20,34.709999,35.384998,34.250000,34.660000,34.304188,7607200
2015-10-21,35.070000,35.084999,33.009998,33.080002,32.740410,11472400
2015-10-22,33.665001,34.540001,33.075001,33.919998,33.571781,11171000
2015-10-23,34.750000,35.090000,33.930000,34.889999,34.531826,10370600
2015-10-26,34.689999,34.955002,34.105000,34.264999,33.913246,6992000
2015-10-27,33.840000,34.055000,32.474998,33.150002,32.809696,9406000
2015-10-28,33.404999,35.985001,33.209999,35.930000,35.561150,17303000
2015-10-29,35.680000,35.959999,34.540001,34.785000,34.427902,10397600
2015-10-30,34.560001,34.974998,34.130001,34.380001,34.027065,8815400
2015-11-02,34.430000,36.770000,34.424999,36.470001,36.095612,9924600
2015-11-03,36.365002,37.665001,36.154999,37.025002,36.644913,9176200
2015-11-04,37.294998,37.639999,36.430000,36.985001,36.605324,7645800
2015-11-05,36.959999,37.255001,35.860001,37.060001,36.679550,7979600
2015-11-06,36.730000,37.959999,36.040001,37.840000,37.451542,9407400
2015-11-09,37.700001,37.889999,36.000000,36.514999,36.140144,12335000
2015-11-10,36.049999,36.814999,35.715000,36.799999,36.422218,7813800
2015-11-11,36.965000,36.974998,35.830002,35.880001,35.511665,7559400
2015-11-12,35.119999,35.264999,33.660000,33.799999,33.453018,13204800
2015-11-13,33.400002,34.189999,32.709999,33.055000,32.715664,14034200
2015-11-16,32.990002,33.919998,32.465000,33.895000,33.547043,8951600
2015-11-17,34.000000,34.869999,33.375000,33.535000,33.190735,10162600
2015-11-18,33.830002,35.285000,33.445000,35.200001,34.838646,10627600
2015-11-19,35.099998,35.310001,34.494999,34.759998,34.403164,6523800
2015-11-20,35.134998,35.924999,35.049999,35.419998,35.056385,6514400
2015-11-23,35.369999,36.410000,35.325001,35.939999,35.571041,6756600
2015-11-24,35.490002,36.900002,35.205002,36.709999,36.333141,10440000
2015-11-25,36.759998,37.730000,36.605000,37.590000,37.204109,7473400
2015-11-27,37.700001,38.279999,37.325001,37.974998,37.585159,4221800
2015-11-30,38.400002,38.439999,37.480000,37.529999,37.144730,7704200
2015-12-01,38.009998,38.279999,37.330002,38.224998,37.832588,9856400
2015-12-02,38.099998,38.404999,36.915001,37.070000,36.689449,10136200
2015-12-03,37.334999,37.840000,34.750000,35.180000,34.818855,13361600
